Pros,Cons,Pros_topics,Cons_topics
People are nice and the free food is awesome! :),You have to be very quick in learning to grow,growing pay money growth making getting things long management gas,uber drivers don management pay customers time company support employees
Good company . Happy to work,Not really any cons as such...,things growth takes pay culture employees think customers benefits rates,time hours make money long work job uber working like
Great working environment and get appreciation and reward for the same.,Time is good . It's flelible,things growth takes pay culture employees think customers benefits rates,time hours make money long work job uber working like
"Relaxed work environment, its just going on auto pilot- so lot of work life balance",No salary and learning growth.,things team support fast bit issues pay drivers growth months,work company people lot life hard need balance uber fast
I have a better growth in uber it helps me for my better future.,- Initial few days can be overwhelming because of all the responsibilities handed over to you,things growth takes pay culture employees think customers benefits rates,pay car uber wear gas tear low vehicle driver time
On time salary no delay,It's  were good to join in uber this is first job.,things team support fast bit issues pay drivers growth months,time hours make money long work job uber working like
"Spacious work place, free food and transport, good use of technology",Work delivery can get ambiguous,growing pay money growth making getting things long management gas,work company people lot life hard need balance uber fast
"Employee benefits,  cool environment to work and nice team spirit.","Slow growth, however, if you have skills you will definitely be valued",things growth takes pay culture employees think customers benefits rates,work company people lot life hard need balance uber fast
free food and flexible time,"but cannot enter in to on role ,no appreciation or team outings",growing pay money growth making getting things long management gas,work company people lot life hard need balance uber fast
It is one of the good places where you can learn and improve your skills and provides a platform to present your thoughts,Nothing much. It is a pretty good place to work.,growing pay money growth making getting things long management gas,work company people lot life hard need balance uber fast
work life balance is very good,nothing i can think of,things team support fast bit issues pay drivers growth months,work company people lot life hard need balance uber fast
"Lot to learn, Great collegues, employee meals.",Handling too many people at once.,things growth takes pay culture employees think customers benefits rates,work company people lot life hard need balance uber fast
"pickup order,start trip,reach location ,delivered the order.",Politics within greenlight centres and,things team support fast bit issues pay drivers growth months,uber drivers don management pay customers time company support employees
can start working at any time and start earning from the day one,"so long delivery,orders level low.",things team support fast bit issues pay drivers growth months,time hours make money long work job uber working like
Good working condition provided by the company,1. Nothing as of now.,things growth takes pay culture employees think customers benefits rates,uber drivers don management pay customers time company support employees
Amazing people to work with,none that I could find,things growth takes pay culture employees think customers benefits rates,uber drivers don management pay customers time company support employees
Good to start as a fresher for contract Roles,- none that I could find,growing pay money growth making getting things long management gas,uber drivers don management pay customers time company support employees
"The best work environment, free food and snacks :p, free cabs and Uber Credits ❤️",No real increase in knowledge,things growth takes pay culture employees think customers benefits rates,uber drivers don management pay customers time company support employees
"Work timing flexibility, no need to go to office is u r in sales. just go directly for meetings. nice incentives.  Nice office and supportive peers.","Heavy workload at times, not always though",things team support fast bit issues pay drivers growth months,time hours make money long work job uber working like
"Freedom of work, Young and energetic team, opportunity to explore the innovative thoughts and ideas, Good Human Resource management, facilities to employees and good work life balance.",the strategies used by company are based on the work done by other companies they are not at all applying their brains.,things team support fast bit issues pay drivers growth months,work company people lot life hard need balance uber fast
"Good team, Perks are cool, Office is spacious, Engineering team is fantastic","nothing as of now, everything is fine",things growth takes pay culture employees think customers benefits rates,uber drivers don management pay customers time company support employees
supportive central team with motivation,salary and promotion. incentive term period is not proper,things growth takes pay culture employees think customers benefits rates,uber drivers don management pay customers time company support employees
great experience to work on global platform,no cons yet to my notice,things growth takes pay culture employees think customers benefits rates,time hours make money long work job uber working like
Good Team and Helpfull supportive Managers,"No week off, lot of politics.",growing pay money growth making getting things long management gas,work company people lot life hard need balance uber fast
"No work pressure,free food and cab","Less income, no trips, every month in loss only",growing pay money growth making getting things long management gas,pay car uber wear gas tear low vehicle driver time
No pros as of now. Only Easy enrollment.,- Sometime work is too much,things team support fast bit issues pay drivers growth months,work company people lot life hard need balance uber fast
"This company has Great Environment and Good opportunities, Something additionally good about this place is  Salary and the Benefits they provide and the fresh culture they have.",The con would be that since its startup the process and everything else is very unstable and highly volatile also there working patern and style and are defined and very messy all over.,things growth takes pay culture employees think customers benefits rates,time hours make money long work job uber working like
Good payment timing   good teamwork,For Field work.   Nice.           .......,growing pay money growth making getting things long management gas,work company people lot life hard need balance uber fast
The working hours were good and the pay is quite decent for the work,Customer front is quite tiring since not everyone is acquainted well with the application,income rating feel maintenance things miles passengers support pay team,pay car uber wear gas tear low vehicle driver time
"Lots to learn, great pay, awesome office","It is still in a startup mode, if you are looking for MNC culture not the place",things growth takes pay culture employees think customers benefits rates,work company people lot life hard need balance uber fast
Best place to work and best place to learn.,Nothing much negative about Uber.,things team support fast bit issues pay drivers growth months,uber drivers don management pay customers time company support employees
The work environment is awesome. We do have flexibility as in the working hours and shifts.,"As of now I have 0 cons with the company, wish it remains the same as I love working in here.",things team support fast bit issues pay drivers growth months,time hours make money long work job uber working like
"Good source of Learning, Good Exposure, Startup Culture and Good Perks.","Sometimes you have to work more than your Work timings, Work Pressure.",growing pay money growth making getting things long management gas,work company people lot life hard need balance uber fast
BEST people to work with,There are none for this organisation.,things growth takes pay culture employees think customers benefits rates,uber drivers don management pay customers time company support employees
Organising social parties well and no compromise in cost at all..,Not Applicable/ No major cons found,growing pay money growth making getting things long management gas,time hours make money long work job uber working like
"Maximum learning, Helps you to enhance your multitasking abilities, Gives you an opportunity to lead a team and become a leader. You will definitely gain a lot of confidence after spending atleast 6 months there.",- Work life balance should be improved,growing pay money growth making getting things long management gas,work company people lot life hard need balance uber fast
"My association with Uber has been great, they has an open and great working culture, open to new ideas and make the employee feel comfortable. The environment is competitive and challenging and lot of hustling goes around each day.",Not a very formal organisation.,things growth takes pay culture employees think customers benefits rates,uber drivers don management pay customers time company support employees
Exciting and fast paced work. Lots of challenging problems to solve.,Lack of proper HR structure. Extremely flat teams in a large set up leads to chaos and lack of proper career path for the employees.,things growth takes pay culture employees think customers benefits rates,uber drivers don management pay customers time company support employees
Really fast growth if you are willing to go the extra mile,"Rotational shifts and offs, with not enough leave days",things growth takes pay culture employees think customers benefits rates,pay car uber wear gas tear low vehicle driver time
Best workplace to learn !,Contractual employees can have problems with their salary,things growth takes pay culture employees think customers benefits rates,uber drivers don management pay customers time company support employees
"Aggressive Work Culture, Encouragement for growth, Room for experimentation, Company investing back in you",Pay scale although other benefits should cover it. Slower than Indian competitor but takes a higher commitment to quality.,things growth takes pay culture employees think customers benefits rates,pay car uber wear gas tear low vehicle driver time
There is no interest left to work with xli uber bcos earnings are zero,No promotional incentives.mumbai uber customer care is the most ruthless and non co operating.Staff.Entire mumbai uber is in mess.Very rude.no problem resolution.Just a show biz to attract and lure new partner drivers in mumbai uber,things growth takes pay culture employees think customers benefits rates,uber drivers don management pay customers time company support employees
"Work culture, food, transport, co - workers, management, perks, work place, fun at work, strong team leads and managers, values and obsession for betterment","tiresome work, high expectations from leadership, tools yet to be modified, transparency is feeble, less motivation by managers and very little interaction with the leadership team",things growth takes pay culture employees think customers benefits rates,work company people lot life hard need balance uber fast
Lots of benefits and perks,Not much growth and pay could be more,things growth takes pay culture employees think customers benefits rates,pay car uber wear gas tear low vehicle driver time
"Good place to work, nice environment and culture, Team support",Nothing bad to mention about.,things team support fast bit issues pay drivers growth months,work company people lot life hard need balance uber fast
"Extremely talented peers, can learn a lot","Everything is streamlined, Nothing to say more.",growing pay money growth making getting things long management gas,time hours make money long work job uber working like
"Fast pacing job, will acquire great abilities for interactions both in a normal and an intense environment, will directly affect the lives of people who are looked down upon in the society",Culture should be stringently followed,things growth takes pay culture employees think customers benefits rates,work company people lot life hard need balance uber fast
Great management. Freshers get an amazing exposure. Good food and ambiance.,A bit downside on work life balance but its currently being worked on,things growth takes pay culture employees think customers benefits rates,work company people lot life hard need balance uber fast
Brilliant overall experience. Great Pay.,There is no job guarantee. Growth inside the company is very slow paced.,things growth takes pay culture employees think customers benefits rates,work company people lot life hard need balance uber fast
Superpumped and lots of valuable work,work life balance is not the best,things growth takes pay culture employees think customers benefits rates,work company people lot life hard need balance uber fast
a great exposure to start up world,a bit slow in hiring,things growth takes pay culture employees think customers benefits rates,work company people lot life hard need balance uber fast
It was great to work in that free environment where I was confident about the work which I did.,The management was not clear about its words.,things growth takes pay culture employees think customers benefits rates,uber drivers don management pay customers time company support employees
Hustle is what drives UBER.,"As the company is settling down, the growth opportunities as a individual is slowing up.",things growth takes pay culture employees think customers benefits rates,work company people lot life hard need balance uber fast
Company is growing with leaps and bounds.You'll meet and discuss ideas with some of the finest minds.It's a great company.I would suggest you to experience if you are a fresher.,Nothing such only that you need to have a sense of driver empathy.,things growth takes pay culture employees think customers benefits rates,work company people lot life hard need balance uber fast
nice working at uber and freindly enironment,working environment and not  a technical job,things growth takes pay culture employees think customers benefits rates,time hours make money long work job uber working like
It is a professional organisation. Doing the business well in India. There is ample growth opportunity.,Has not spend much time in India. Have also to concentrate in the smaller cities for business growth.,things growth takes pay culture employees think customers benefits rates,time hours make money long work job uber working like
Excellent opportunity to share best practices,"kids with spreadsheet, making un-wise decissions",things growth takes pay culture employees think customers benefits rates,work company people lot life hard need balance uber fast
Such a friendly company which doesn't force and disappoint its employees. Many opportunities to grow. Awesome please to get into,Improvement in everything is required from time to time . So I'd like to say everything can be improved slowly to make the company newer day by day.,things growth takes pay culture employees think customers benefits rates,time hours make money long work job uber working like
Yesterday is History and Tomorrow is the vision. That is what Uber is about. Always Hustlin' to find a way to become better with lot of empowerment to employees.,Too fast for the people who are too slow.,things growth takes pay culture employees think customers benefits rates,work company people lot life hard need balance uber fast
Giving the best opportunity to a fresher,As of now there is no such thing which i felt is not good or lacking here :) :),things growth takes pay culture employees think customers benefits rates,work company people lot life hard need balance uber fast
"Amazing work culture, Convenient shift timings, Night shift allowances, Free meals, snacks, free transport, Additional free rides, brilliant managers!",The company is still in its adolescent stage ( which is more than often a good thing).,growing pay money growth making getting things long management gas,work company people lot life hard need balance uber fast
"Casual attire, good provision of food, highly qualified and helpful managers and senior staff.","Direct exposure with partners, employees must know how to deal with them.",growing pay money growth making getting things long management gas,uber drivers don management pay customers time company support employees
I worked with ola cabs for 2 years in operations coordinator,"They hire on 3rd party payroll and it is next to impossible to come on uber payroll. Also the mumbai office lacks basic infrastructure. Wrong people have been promoted to full time positions, people who treat their employees as laborers whereas few months ago they were on the same position as we were. Uber does not take any responsibility for employees on a 3rd party payroll and many talented chaps have left just for...",growing pay money growth making getting things long management gas,uber drivers don management pay customers time company support employees
Got to learn lot of non technical and management skills being working at transactional level,Coordinating with driver's maintaining fleet's,things growth takes pay culture employees think customers benefits rates,pay car uber wear gas tear low vehicle driver time
"Easy set of terms and formats. Looks towards efficiency, one of the best companies to work with. Become the owner of your own task!",Time constraint and access to a set of essentials. There's not a lot of things that can be said under negation,things team support fast bit issues pay drivers growth months,work company people lot life hard need balance uber fast
Company has good over all view .,"Inspite of Cab company(Which basically never owns a cab)did not provide cab..(╯︵╰,)",growing pay money growth making getting things long management gas,work company people lot life hard need balance uber fast
"no work pressure, no formals, just enjoy your time",To be Frank Didn't discovered yet.,income rating feel maintenance things miles passengers support pay team,uber drivers don management pay customers time company support employees
"The advantages of UBER is basically it saves time and it ain't time consuming, it makes life easier for every individual and it's very safe especially for the ladies to travel around the city. The best part is you don't have to walk about 1 or 2km to find a taxi it just arrives wherever you are. And the rates are quite worth it for a peaceful ride to your destination.","There is no growth for people who work has contract , they take lote of work from the contract people they dont recognize in the from of perks .",things team support fast bit issues pay drivers growth months,work company people lot life hard need balance uber fast
Lots of responsibility and good package,The work involves alot of time and talking to drivers.,growing pay money growth making getting things long management gas,time hours make money long work job uber working like
Gud place to start for a bba student,Low look on the employees at lower level.,things team support fast bit issues pay drivers growth months,pay car uber wear gas tear low vehicle driver time
"Good Exposure, Work culture is excellent. Overall Remuneration is good",Long Work Hours apart from that there is not much to complain about.,things growth takes pay culture employees think customers benefits rates,time hours make money long work job uber working like
"Great work culture, fantastic set of peers, office is good too, pay is decent for a temp position",There is little to no management to complain too. The best thing to do is to talk with the resteraunt managment if issues arise.,income rating feel maintenance things miles passengers support pay team,work company people lot life hard need balance uber fast
"If you enjoy being independent as well as driving vast distances, this is a job for you.",ok to work with Uber,things growth takes pay culture employees think customers benefits rates,uber drivers don management pay customers time company support employees
"There is a really well developed customer base in Chicago.  So, it's easy to get trips.",Excessive working hours on a day tot day basis but depends on how good you are in planning a project.,things team support fast bit issues pay drivers growth months,time hours make money long work job uber working like
work flexibility is good with uber,The work is really interesting and always evolving so you need to be up for the challenge.  It is however so rewarding and you’ll learn and grow rapidly in this environment.,things team support fast bit issues pay drivers growth months,work company people lot life hard need balance uber fast
"Good money, networking, Choose your own timing","Long hours of driving, better rates for drivers",income rating feel maintenance things miles passengers support pay team,pay car uber wear gas tear low vehicle driver time
the benefits are killer the pay is great and work load is great you can really feel your work has impact .,"moving up is hard  each cycle they put more steps to do so, but your pay is great",things growth takes pay culture employees think customers benefits rates,work company people lot life hard need balance uber fast
"Competitive Salary and Benefits, clearly defined career progression paths with easy  mobility to other departments within your branch and opportunities to transfer abroad. Collaborative environment filled with interesting hand picked colleagues, health insurance there is lots more off course, but pretty good place to work.","Uber is relatively young, fast moving and now publicly traded company, so change is something you have to be prepared for. Hours of work and shift patterns can be challenging for some too.",things growth takes pay culture employees think customers benefits rates,work company people lot life hard need balance uber fast
"Great Pay, Great Benefits, Great Perks, and Great Performance Bonuses.","My location work environment I don't like. That's just my location, I'm sure other locations are better.",things growth takes pay culture employees think customers benefits rates,work company people lot life hard need balance uber fast
"Very Flexible.  The more you drive, the more you earn.  Great possibilities for networking and meeting new people.","subject to evaluations from riders with no driving experience.  Ratings are used at times to ""game"" the system for free rides regardless of actual performance.",growing pay money growth making getting things long management gas,pay car uber wear gas tear low vehicle driver time
Long distances means more money,"Intense environment, lack of communication, problems collaborating across teams and business units",income rating feel maintenance things miles passengers support pay team,uber drivers don management pay customers time company support employees
"Accomplish a lot of work, great independence, room for leadership and growth",Company's longer term prospects are uncertain; market has not reacted well to IPO so value of equity package unclear; frequent reorgs demonstrate that business hasn't yet found the right formula for sustainable growth,things growth takes pay culture employees think customers benefits rates,work company people lot life hard need balance uber fast
"Flexible schedule,  tips,  getting to know the city grid","Low pay,  wait time between riders,  drunk riders,   To many riders trying to cram into my car,  various heavy scents from Riders.",income rating feel maintenance things miles passengers support pay team,pay car uber wear gas tear low vehicle driver time
Flexible hours. Restrictions on hrs working. Prompt payment. Sick payment. Excellent perks.,Some unsociable hrs. Self employed.,things growth takes pay culture employees think customers benefits rates,uber drivers don management pay customers time company support employees
Allows you to do awesome things,Bureaucracy is mounting quickly at the company,growing pay money growth making getting things long management gas,work company people lot life hard need balance uber fast
Decent pay for people who actually put in the hours like myself,Lots of wear and tear on my mini van,income rating feel maintenance things miles passengers support pay team,pay car uber wear gas tear low vehicle driver time
"ALL, 5 Stars, Everything Was Great","NONE, Nothing, Good Company, Work When You Want.",things growth takes pay culture employees think customers benefits rates,work company people lot life hard need balance uber fast
"Great Culture, great perks, good TC.",Too many engineers have been hire over last 2 years,things growth takes pay culture employees think customers benefits rates,uber drivers don management pay customers time company support employees
Very dynamic company where the best idea wins and you are encouraged to think outside the box.,Not a ton of structure and there is employee turnover.,things growth takes pay culture employees think customers benefits rates,uber drivers don management pay customers time company support employees
"Convenient and Cashless, Safer and More Flexible for Drivers","Surge Pricing, Safety Concerns, Low Fares Hurt Drivers",income rating feel maintenance things miles passengers support pay team,uber drivers don management pay customers time company support employees
"Unlimited PTO,  great work-life balance, awesome leadership and coworkers",The product needs to be more work,things team support fast bit issues pay drivers growth months,work company people lot life hard need balance uber fast
"I just started at Uber 3 months ago and i love my job and i see so many people working with single goal ""Be the best of yourself""",I am very new here i dont have any.,things growth takes pay culture employees think customers benefits rates,uber drivers don management pay customers time company support employees
It is nice to manage your own business.,"Gas, repairs, extra money in rentals, traffic tickets, old age of car replacement and Insurance prices",things team support fast bit issues pay drivers growth months,pay car uber wear gas tear low vehicle driver time
"Coming from a very corporate environment, Uber has been such a fantastic move for my cultural needs. It provides flexibility, the ability to express your creative skills and apply them to your team projects and has great leaders who are committed to making an impact in Uber's mission. The culture is diverse, unique and welcoming to all professional backgrounds. I have enjoyed the on-boarding process and look forward to...","With Uber growing rapidly and so many projects in play, it is a very fast paced environment and might be a little bit unorganized in some divisions, but nothing time can't fix especially with teams hiring all over for additional support to better build the business organizations and set a foundation for long-term success. Get ready for fast paced day-to-day, it can be challenging in the beginning but you can gradually...",things growth takes pay culture employees think customers benefits rates,work company people lot life hard need balance uber fast
none at all at all,Hiring processes are long and feedbacks need to be given,growing pay money growth making getting things long management gas,time hours make money long work job uber working like
My team is full of amazing brilliant people who enjoy going to work everyday and helping people. The culture is one of speed and getting things done which I really enjoy,People can think you are part of scamming drivers,things growth takes pay culture employees think customers benefits rates,work company people lot life hard need balance uber fast
The UX team is super supportive and warm. They are all very kind to new grad.,I don't think there's any cons.,growing pay money growth making getting things long management gas,uber drivers don management pay customers time company support employees
"Choose your own hours, get to drive a lot of places",Low pay and no benefits,income rating feel maintenance things miles passengers support pay team,pay car uber wear gas tear low vehicle driver time
You can work whenever you want,The amount of work you get is variant depending on the day and hours you work.,things team support fast bit issues pay drivers growth months,time hours make money long work job uber working like
Good training for an analytics career,They work you very hard but well worth it,growing pay money growth making getting things long management gas,work company people lot life hard need balance uber fast
They make sure you are at your best by providing relevant trainings and sufficient support especially to those who haven't experienced a customer support job. A nice place for career growth.,None at all. Continue the support,things team support fast bit issues pay drivers growth months,uber drivers don management pay customers time company support employees
Work personal hours. Interact positively with most clients. Support team promptness. Innovative.,I don't have any,things team support fast bit issues pay drivers growth months,uber drivers don management pay customers time company support employees
Excellent environment and clear career plan,Not feeling very safe after firing 400 marketing employees,things growth takes pay culture employees think customers benefits rates,uber drivers don management pay customers time company support employees
"Freedom , flexibility, self management, fun","Small pay, time consuming, high fees , rude Costomer",things team support fast bit issues pay drivers growth months,pay car uber wear gas tear low vehicle driver time
flexible schedule. Provides cars you can use if you don't have one available.,Sometimes get left far from home.,income rating feel maintenance things miles passengers support pay team,uber drivers don management pay customers time company support employees
"The freedom to work whenever you want to, and to be able to take a break when you want.","The media storm (and internal storm) which the company underwent in the last few years left a strong impact. However, I'm convinced that it turned things around for the better, and that we're a much healthier, better company for it today.",things team support fast bit issues pay drivers growth months,work company people lot life hard need balance uber fast
